texts,labels
"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses.",Security
"As a collection owner, I want to have submitters to my collection to be unable to modify existing items in that collection.",Security
"As a superuser, I want to enter and exit the superuser scope.",Usability
"As a collection curator, I want to be able require authentication to access objects unless the request is coming from a whitelisted IP address, list of addresses.",Security
"As a repository manager, I want to view available versions of an object and restore a version from the staff interface.",Usability
"As a collection curator, I want to view the permission on my objects all together.",Usability
"As a non-Duke researcher, I want to describe my team and mine's objects in the repository after they've been deposited if we've been assigned permission to edit metadata.",Usability
"As a faculty member, I want to go to my repository dashboard to manage members of my classes, grant submit permissions by pasting in a list of NetIDs, see confirmation that DDR recognizes the NetIDs, ability to manually remove permissions, ability to set begin and end dates for a submission window, and a have a status screen to clearly illustrate who has and hasn't submitted.",Usability
"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type.",Maintainability
"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app.",Usability
"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances.",Usability
"As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts.",Compatibility
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a shared dataset type that all dataset instances created by this app start using the new code but all dataset instances created by other apps remain unchanged.",Compatibility
"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app.",Compatibility
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a different version of a dataset type deployed by another app and this app shares a dataset instance of this type with the other app the deployment will fail with a version conflict error. ",Reliability
"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.",Usability
"As a dataset developer, I want to have the option of forcing applications to have the dataset code injected at runtime.",Performance
"As a dataset developer, I want to have an archetype that helps me package my dataset type properly.",Usability
"As a dataset developer, I want to separate the interface from the implementation of a dataset type.",Maintainability
"As an app developer, I want to only depend on the interface of a dataset type in my app and have the system inject the implementation at runtime.",Performance
"As an app developer, I want to write unit tests for an app that depends on the interface of a dataset type.",Maintainability
"As a dataset developer, I want to deploy a new version of a dataset type without affecting the dataset instances of that type.",Maintainability
"As a dataset developer, I want to delete outdated versions of a dataset type and I expect this to fail if there are any dataset instances with that version of the type.",Reliability
"As a dataset developer, I want to list all dataset instances that use a dataset type or a specific version of a type.",Usability
"As a data scientist, I want to be able to create a dataset instance of an existing dataset type without writing code.",Usability
"As a hydrator user, I want to specify an explicit version of the dataset types of the dataset instances created by my pipeline and I expect pipeline creation to fail if that results in incompatible upgrade of an existing dataset instance that is shared with other apps or pipelines.",Reliability
"As a hydrator user, I want to explore the datasets created by my pipeline.",Usability
"As a hydrator user, I want to ensure that all dataset instances created by apps are available as sinks and sources for pipelines.",Usability
"As an app developer, I want to ensure that all dataset instances created by Hydrator pipelines are accessible to the app.",Usability
"As a plugin developer, I want to include the code for a dataset type in the plugin artifact, so that when a pipeline using this plugin is created a dataset instance of that type is created and it is explorable and available to apps.",Usability
"As a dataset developer, I want to have the option of implementing an upgrade step for when a dataset instance is upgraded to a new version of the dataset type.",Usability
"As a dataset developer, I want to have a way to reject an upgrade of a dataset instance to a newer version of it type if the upgrade is not compatible.",Usability
"As a dataset developer, I want to have the option of implementing a migration procedure that can be run after an upgrade of a dataset instance to a new version of it type. ",Usability
"As a developer, I want to take a dataset offline, so that I can perform a long-running maintenance or migration procedure.",Maintainability
"As a user, I want to find out what properties are supported by the dataset type what values are allowed and what the defaults are when creating a dataset instance. ",Usability
"As a user, I want to specify the schema of a dataset in a uniform way across all dataset types.",Usability
"As a user, I want to configure time-to-live in a uniform way across all dataset types.",Usability
"As a user, I want to see the properties that were used to configure a dataset instance.",Usability
"As a user, I want to find out what properties of a dataset can be updated.",Usability
"As a user, I want to update the properties of a dataset instance and I expect this to fail if the new properties are not compatible with a meaningful error message.",Maintainability
"As a user, I want to update a single property of a dataset instance without knowing all other properties. ",Usability
"As a user, I want to remove a single property of a dataset instance without knowing all other properties. ",Usability
"As a user, I want to ensure that if reconfiguration of a dataset fails then no changes have taken effect, so that all steps required to reconfigure a dataset must be done as a single atomic action.",Maintainability
"As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.",Reliability
"As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured.",Reliability
"As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment. ",Usability
"As a pipeline designer, I want to get a meaningful error message when pipeline creation fails when I use an existing dataset as a sink or source, so that I know that the schema or any other property of the dataset is incompatible with what the pipeline requires. ",Reliability
"As a user, I want to specify as part of dataset configuration whether it is explorable.",Security
"As a user, I want to specify the explore schema separately.",Usability
"As a user, I want to ensure that dataset creation fails if the dataset cannot be enabled for explore.",Security
"As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails.",Reliability
"As a user, I want to ensure that a dataset operation fails if it fails to make its required changes to explore.",Reliability
"As a user, I want to ensure that an update of explore never leads to silent loss of data or data available for explore. ",Reliability
"As a release engineer, I want to call a script to execute acceptance tests against a Neurohub installation and report back the results.",Maintainability
"As an investigator, I want to view the acceptance test results, so that I can understand how feature-complete the Neurohub node currently is.",Maintainability
"As a user, I want to navigate forwards and backwards between log books and log book pages without having to use my browser's back button.",Usability
"As a lab administrator, I want to theme the Web interface graphics/colours.",Usability
"As a researcher, I want to receive an alert of any unattached files that are in my workspace.",Usability
"As a release engineer, I want to configure nightly builds that automatically perform a Neurohub installation on a virgin operating system, execute tests and report back results, without requiring any manual input/interaction.",Performance
"As a supervisor, I want to view what my researchers were doing on a given date or period of time.",Usability
"As a user, I want to use the tags that I use are part of a controlled vocabulary.",Usability
"As a user, I want to make uploaded data files to be non-modifiable.",Maintainability
"As a user, I want to restrict what can be entered to a metadata field.",Maintainability
"As a user, I want to have files I might accidentally delete to be restorable.",Maintainability
"As a user, I want to revert to an older version of an uploaded file.",Maintainability
"As a user, I want to have a visual way of viewing particular files uploaded over a time period.",Usability
"As a user, I want to associate together files involved in a experiment.",Usability
"As a system administrator, I want to have a managed backup protocol for the system.",Reliability
"As a user, I want to enter metadata / describe an experiment protocol before a file is even created.",Usability
"As lab administrator, I want to have increased access to the system to support regular users. ",Usability
"As a user, I want to capture the same metadata for each file created in an experimental run.",Usability
"As a user, I want to view how an experimental protocol has evolved over time.",Usability
"As a user, I want to prove definitively that I created a page on a certain date.",Usability
"As a user, I want to manage the references / papers I have investigated.",Usability
"As a user, I want to see the provenance of the page as part of the search results.",Usability
"As a user, I want to attach multiple files at once to a log book page.",Usability
"As a user, I want to download multiple files from the search results in one go.",Usability
"As a lab member, I want to view events and equipment bookings within the group.",Usability
"As a user, I want to store worm behaviour videos with an encoding that can be analysed by the worm analysis software written by Christopher James.",Usability
"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version.",Maintainability
"As a user, I want to either keep a logbook entry private or share it with individuals rather than groups.",Security
"As a user, I want to view the group's shared calendars via the Neurohub Nodes' Web page as well as on my mobile device.",Portability
"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar.",Compatibility
"As a user, I want to have the ability to move multiple files around and rearrange them using the Neurohub file browser while processing data.",Usability
"As a researcher, I want to point my Mendeley client at a group-wide shared repository of research papers and get notifications via Mendeley when new content is added.",Usability
"As a researcher, I want to have electronic support for keeping track of which data sets were used/output/modified as part of a particular experiment.",Usability
"As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time.",Maintainability
"As a researcher, I want to have a timeline display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates.",Usability
"As a researcher, I want to have remote access to my data for off-site working , so that I can still work effectively while away from the lab.",Usability
"As a researcher, I want to indicate within my electronic log book which experimental data is good/bad, hide the bad data, but still keep it in the system just in case it is useful in the future.",Usability
"As a researcher, I want to have the system to provide standard metadata, that all researchers in the centre (and beyond) can use, so that we can better understand each others' data.",Usability
"As a researcher, I want to have physiology images to be annotated with standard meta data, so that my data can later be searched for and understood.",Usability
"As a researcher, I want to have the ability to attach standard meta data for behavioural observations (and video), so that my data can later be searched for and understood.",Usability
"As a researcher,  I want to have the ability to attach standard meta data for drug responses, so that my data can later be searched for and understood.",Usability
"As a researcher, I want to have at least some meta data to be automatically inserted when new data is added to the system.",Usability
"As a researcher, I want to have the ability to select a partially pre-populated template that already contains commonly entered meta data while adding new data to the system, so that I do not waste time repeatedly inserting the same meta data over and over again for each individual file or log book entry.",Usability
"As a user, I want to be sure that existing metadata corresponding to the file is not lost when moving a file to a new location.",Maintainability
"As a researcher, I want to have any data that I have written to the VRE to be protected from modification or deletion, so that original data can always be traced back to an experiment and a point in time.",Maintainability
"As a user,  I want to have the ability to keep my data private on the system, and only share data that I deem should be shared.",Security
"As a researcher,  I want to have the ability to store all the inputs for an experiment so that the provenance of the results can be verified.",Usability
"As a researcher,  I want to have the ability to bulk upload directories and files with minimal effort.",Usability
"As a researcher, I want to associate meta data to the group as a whole at some point in time after the bulk upload has completed, so that I have a period of time to reflect on suitable values for the meta data.",Usability
"As a user,  I want to have the ability to change the sharing and ownership of multiple files.",Security
"As a researcher,  I want to have the ability to restrict the data I share to certain researchers or groups of researchers.",Security
"As a researcher,  I want to have the ability to locate and access data that colleagues want to share.",Usability
"As a researcher,  I want to have the ability to interact with a revision control system so that I can keep track of changes to files over time.",Usability
"As a JuniorResearcher,  I want to have the ability to harvest knowledge from within the group, so that I can learn from more experienced researchers.",Usability
"As a researcher, I want to secure remote access to the Neurohub node when working away from the laboratory",Usability
"As a researcher, I want to have the details of the workflow plan as well as the execution history and results recorded in Neurohub while executing a workflow",Usability
"As an OlderPerson, I want to know exactly what ALFRED does with my personal data, and share it only on my specific permission. ",Security
"As an OlderPerson, I want to receive information from ALFRED by speech technology. ",Usability
"As an OlderPerson, I want to use only well-visible buttons.",Usability
"As an OlderPerson, I want to use ALFRED as much as possible with speech interaction.",Usability
"As an OlderPerson, I want to be able to manage my privacy and data settings. ",Security
"As an OlderPerson, I want to have everything preinstalled, so that I do not have to set up ALFRED by myself.",Usability
"As an OlderPerson, I want to have a small ALFRED device that is wearable and easy to carry with me.",Portability
"As an OlderPerson, I want to have ALFRED on all my computers, tablets and phone.",Portability
"As an OlderPerson, I want to have ALFRED on a bracelet or a necklace, so that I can always wear him with me. ",Portability
"As an OlderPerson, I want to have clear instructions and service after sales that guide me if I have trouble in using ALFRED.",Usability
"As an OlderPerson, I want to have an ALFRED device that speaks very slowly and clearly.",Usability
"As an OlderPerson, I want to have an ALFRED device that only listens to me when I ask it to. ",Security
"As an OlderPerson, I want to have an introduction conversation with ALFRED, so that I can learn everything about him and he about me. ",Usability
"As an OlderPerson, I want to buy ALFRED in a senior shop with special client support. ",Usability
"As an OlderPerson, I want to buy ALFRED for a low price. ",Usability
"As an OlderPerson, I want to receive visual support, especially when looking at a list, map or agenda.",Usability
"As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day.",Reliability
"As an OlderPerson, I want to have an ALFRED device that informs me about a low battery when leaving the house. ",Usability
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual or hearing troubles.",Usability
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual troubles. ",Usability
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble. ",Usability
"As an OlderPerson, I want to have an AFLRED device that encourages its users for real interaction between humans and not only with ICT tools. ",Usability
"As an OlderPerson, I want to have an ALFRED device that provides me with information about existing apps that corresponds to my interests. ",Usability
"As an OlderPerson, I want to be able to customize my preferences in the different functionalities of the solution.",Usability
"As a MedicalCaregiver, I want to have a simple ALFRED unit that is expandable in is functions. ",Usability
"As an OlderPerson, I want to have my data stored directly on the phone.",Maintainability
"As an OlderPerson, I want to receive a message when my home care nurse is on her way. ",Usability
"As an OlderPerson, I want to be able to see whether I already have taken my pills, so that I can avoid an overdose. ",Usability
"As a MedicalCaregiver, I want to be able to see if the patient has taken her medicine. ",Usability
"As an OlderPerson, I want to have ALFRED ask spontaneous questions but it would be better to programme it during certain times of the day. ",Usability
"As an OlderPerson, I want to have ALFRED to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking. ",Usability
"As an OlderPerson, I want to activate the vocal interaction mode of ALFRED by pushing a specific button. ",Usability
"As an OlderPerson, I want to receive reminders on my appointments. ",Usability
"As an OlderPerson, I want to receive a reminder from ALFRED on all the things I need to bring with me when I leave the house. ",Usability
"As a SocialCaregiver, I want ALFRED to remind me of the things I need to bring to the person I care for. ",Usability
"As an OlderPerson, I want to just press one button to call my caregiver. ",Usability
"As an OlderPerson, I want to decide who has access to my vital data. ",Security
"As a MedicalCaregiver, I want to be sure that the user can decide who has access to her data. ",Security
"As an OlderPerson, I want to have the wearables with integrated sensors to look good and not to be stigmatizing. ",Usability
"As an OlderPerson, I want to see my vital parameters myself on the phone. ",Usability
"As an OlderPerson, I want to have the ALFRED shirt to look good. ",Usability
"As an OlderPerson, I want to have the ALFRED shirt has to be non stigmatizing. ",Usability
"As a MedicalCaregiver, I want to have feedback on the activity level of the user. ",Usability
"As a MedicalCaregiver, I want to control if the user does the exercise correct. ",Usability
"As a MedicalCaregiver, I want to have a regular summary on how much exercise is performed by the user. ",Usability
"As an InformalCaregiver, I want to have a game that the carer could play together with the user, so that it would enable to monitor the users’ state of health but also have some fun time. ",Usability
"As a MedicalCaregiver, I want to give corrective feedback if exercises are performed wrong, too much or in any other way harmful to the user. ",Usability
"As a developer, I want to present my app to as many people as Possible. ",Usability
"As a developer, I want to have the accounting to be as simple and clear as Possible. ",Usability
"As a developer, I want to easily create and to maintain my apps within the market place. ",Usability
"As a developer, I want to enable customers to provide feedback about my App and need an easy way to watch this feedback. ",Usability
"As a developer, I want to have an easy way to manage the pricing modality of my Apps. ",Usability
"As a developer, I want to have the API to be well defined and well documented. ",Maintainability
"As a developer, I want to obtain Apps development support. ",Usability
"As a developer, I want to know the fees the provider of the market place charges for using the platform. ",Usability
"As a developer, I want to have detailed information of what happened when my App crashes on the user’s device. ",Reliability
"As a developer, I want to present my App in several ways. ",Usability
"As a developer, I want to be able to design my App on my own - though there will be a few rules I have to stand to. ",Usability
"As a developer, I want to have an easy way to define questions the user can ask and perform. ",Usability
"As a developer, I want to have my App to be granted access to several operating system features. ",Compatibility
"As a developer, I want to have the API components to be on a high level so that I don’t have to deal with their details. ",Usability
"As a developer, I want to have an easy way to read data from health sensors the user is wearing. ",Usability
"As a developer, I want to provide an easy way to manage the user Settings. ",Usability
"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals. ",Usability
"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals.",Usability
"As a anonymoususer, I want to view a list of sponsors, so that I can thank all the awesome sponsors.",Usability
"As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference.",Usability
"As a trainingcoordinator, I want to email all the trainers at once from the website for info and updates, so that It is easier to use.",Usability
"As a attendee, I want to have a very clear map where the buildings and rooms are, so that I can make it to class on time.",Usability
"As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces.",Maintainability
"As a trainingcoordinator, I want to tie in a cancellation deadline to whatever registration / cancellation workflow exists, so that so we don't loose money or spots.",Usability
"As a trainee, I want to see which trainings I have signed up for, so that they can schedule their event experience.",Usability
"As a trainer, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup.",Usability
"As a trainingcoordinator, I want to have an admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",Usability
"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class.",Usability
"As a anonymoususer, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page.",Usability
"As a anonymoususer, I want to have a training landing page with an intro section and a list of all training offerings and promote call for trainings, so that I can shop for training all with one page and we can have a call for trainings for selection.",Usability
"As a anonymoususer, I want to have a link on the home page to a list of training options, so that I can take training.",Usability
"As a authenticateduser, I want to find a link on the sponsorships page to become a $350 level sponsor, so that I can pay for and become a sponsor role.",Usability
"As a anonymoususer, I want to See a list of attendees associated with this company, so that I know who from this sponsor organization is attending.",Usability
"As a authenticateduser, I want to identify myself as and pay for a $350 company sponsorship, so that I can easily become a sponsor at this level without having to interface with badcamp personnel to get a sponsorship.",Usability
"As a anonymoususer, I want to view venue details, so that I can get a sense of the location and see the events happening there.",Usability
"As a anonymoususer, I want to see a list of the sessions associated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders.",Usability
"As a anonymoususer, I want to see all events, trainings and summits that a sponsor is sponsoring so that I know where I can engage with this sponsor and where they are thought leaders.",Usability
"As a anonymoususer, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp.",Usability
"As a administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",Usability
"As a anonymoususer, I want to read the blog, so that I can stay informed about all the latest happenings with BADCamp.",Usability
"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.",Usability
"As a attendee, I want to see what summits I'm signed up for, so that I can confirm my attendence and prevent myself from accidentally double-booking with a training or another summit.",Usability
"As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event.",Usability
"As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.",Usability
"As a anonymoususer, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.",Usability
"As a anonymoususer, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend.",Usability
"As a anonymoususer, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization.",Usability
"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to update my content.",Usability
"As a anonymoususer, I want to learn about posting jobs as a sponsor and contact the sponsorship person, so that I have the opportunty to post my job listing on the BADCamp site.",Usability
"As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!.",Usability
"As a anonymoususer, I want to see the schedule, so that I can plan my day and figure out where to go!.",Usability
"As a anonymoususer, I want to see the final list of sessions approved, so that I can see what's going on at BADCamp .",Usability
"As a administrator, I want to bulk approve sessions as accepted, so that I can save time.",Usability
"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.",Usability
"As a anonymoususer, I want to receive a notification when I submit a session, so that know that my session went through ok.",Usability
"As a anonymoususer, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend.",Usability
"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.",Usability
"As a anonymoususer, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp.",Usability
"As a anonymoususer, I want to find session information, so that I can go to a session.",Usability
"As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of staff changes.",Usability
"As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.",Usability
"As a researcher, I want to import metadata that I captured with a metadata tool, so that I do not have to capture it again in a DMP.",Usability
"As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.",Usability
"As a repository owner, I want to be able to check the planned provenance of the data that will be submitted at the end of a project, so that I can calculate necessary submission fees and check whether it belongs to our target group.",Usability
"As an IT manager, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.",Performance
"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.",Performance
"As an IT staff member, I want to know the security requirements of the data, so that I know which kind of security measures to apply.",Security
"As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detail as the study proceeds.",Usability
"As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through quickly writing it.",Performance
"As a data manager, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.",Usability
"As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.",Security
"As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.",Performance
"As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly.",Security
"As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",Usability
"As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",Usability
"As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions.",Maintainability
"As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.",Maintainability
"As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.",Usability
"As a funder, I want to be able to read the costs for data management from the DMP, so that I can check whether our policies work as intended.",Usability
"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.",Usability
"As a stakeholder, I want to know when the data management plan was created or updated, so that I know how up-to-date the plan is or whether it needs to be updated.",Usability
"As a stakeholder, I want to know who is responsible for the DMP, so that I can ask them about further details.",Usability
"As a stakeholder, I want to have references to the project proposal, so that I can look up further general information.",Usability
"As a metadata manager, I want to have a short description of project, so that I can be informed about the metadata description.",Usability
"As a rector, I want to know how many data will be stored, so that I can plan long term resources.",Performance
"As a data manager, I want to know the time plan for collecting data, so that I can plan the data management.",Maintainability
"As a data librarian, I want to import administrative information regarding a project into DMP, so that I can prepopulate the DMP.",Usability
"As a manager, I want to know about all resources and services used for the data, so that I can estimate the true cost of the project.",Usability
"As an archivemanager, I want to reuse the information regarding file format, so that I can apply automated checks for the file validation.",Reliability
"As a researcher, I want to know how many resources are needed during the project, so that I can calculate costs.",Usability
"As a researcher, I want to extract the description of the data collected, so that I can reuse it for the writing of a data paper.",Usability
"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.",Usability
"As a repository operator, I want to know about the kind of data, so that I can evaluate the storage size and system.",Performance
"As a researcher, I want to know about costs, so that I can plan my research.",Usability
"As a repository manager, I need details on the type of data, so that I can check if the archiving can be arranged.",Usability
"As an IT officer, I want to know how secure data is, so that I can ensure legal compliance.",Security
"As a funder, I want to know how secure data is, so that I can ensure legal compliance.",Security
"As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.",Usability
"As a Postgraduate Convenor, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.",Usability
"As a research support officer, I want to ensure compliance to the funders’ rules, so that I can ensure all costs will be accepted.",Usability
"As a funder, I want to be able to check all the repositories mentioned in a DMP, so that I can verify whether the project has followed our funding rules.",Usability
"As a PI, I want to plan what kind of data I want to store, so that I can ensure it will be possible to store it.",Performance
"As a PI, I want to know how secure data is, so that I can ensure legal compliance.",Security
"As a Director of Research Integrity, I want to access reports containing details of research projects in which data are classified as sensitive or highly sensitive, so that I can confirm security protocols are applied to these data.",Security
"As an archive, I want to get information about the volume of data to preserve at an early stage, so that I can provide the adequate storage infrastructure.",Performance
"As a researcher, I want to know how long it will take to archive, so that I can plan further steps.",Usability
"As a PI, I want to know who owns the data, so that I know what I am allowed to do with it.",Security
"As a data manager, I want to have references to documentation of the data and its creation process, so that the data can be re-used and managed.",Maintainability
"As an archivemanager, I want to make sure that detailed metadata are associated to data so that it will be understandable by future users.",Usability
"As a data manager, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.",Reliability
"As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.",Reliability
"As a data manager, I want to know whether the collected data depends on other data sets from my own or other institutions, so that I can ensure that these dependencies are maintained.",Maintainability
"As a data manager, I want to know which information is necessary to re-use the data, so that it can be checked whether all necessary information is available for researchers interested in re-using the data.",Maintainability
"As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored.",Performance
"As a research evaluation manager, I want to ensure all data are quoted correctly with our affiliation, so that they are counted towards our citation counts.",Usability
"As an administrator, I want to check that all data has the appropriate security level, so that I can demonstrate compliance.",Security
"As a data manager, I want to know the security requirements of the data, so that I can check whether the data can be kept secure.",Security
"As an institutional data manager, I want to know about the privacy and security requirements of the data, so that I can plan the right storage system and sharing permissions.",Security
"As a researcher, I want to see the sections on costing by other researchers in my department, so that I can see if we could share data manager posts.",Usability
"As a researcher, I want to see the sections on roles submitted by other researchers in my department, so that I can see if we could share data manager posts.",Usability
"As a researcher, I want to see the sections on responsibilities submitted by other researchers in my department, so that I can see if we could share data manager posts.",Usability
"As a faculty data steward, I want to see the sections on costing, so that I can ensure sufficient expertise on data management to support the project.",Maintainability
"As a faculty data steward, I want to see the sections on roles, so that I can ensure sufficient expertise on data management to support the project.",Maintainability
"As a faculty data steward, I want to see the sections on responsibilities, so that I can ensure sufficient expertise on data management to support the project.",Maintainability
"As a data manager, I want to clarify the necessary rights for re-using the data, so that it is legal to reuse the data.",Security
"As a researcher, I want to record my intention to share data I have collected under terms of a particular licence, so that other researchers who use the data understand the rights of use.",Usability
"As a data manager, I want to plan the anonymization of data, so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data.",Security
"As a data manager, I want to know whether the DMP was approved, so that I can proceed with the required next steps.",Usability
"As a researcher, I want to be able to view a finding aid for a particular collection/Resource.",Usability
"As an Application Administrator, I want to be able to reset a User's password for them.",Security
"As an Archivist, I want to assign a component unique identifier to a Resource Component.",Usability
"As a User , I want to authenticate using LDAP.",Security
"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record to support data migration integrity testing.",Performance
"As an Archivist, I want to associate a standard identifier string with a Subject heading.",Usability
"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred.",Reliability
"As an Authenticated User, I want to get access to links to contextual help.",Usability
"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects.",Usability
"As an Archivist, I want to import only Agent and Subject information from MARCXML records.",Usability
"As an Application Administrator, I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced.",Security
"As an Application Administrator , I want to be able to configure the help center URL and topic mappings.",Usability
"As a user, I want to add additional properties for repositories.",Usability
"As an Archivist, I want to add Notes to other record types.",Usability
"As an Archivist, I want to add administrative data about the archival description and finding aid-related data to a top-level Resource.",Usability
"As an Archivist, I want to assign a Level of description to a Resource or Resource Component and optionally specify another value if the Level is not in a predefined list.",Usability
"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up.",Reliability
"As an archivist, I want to search within a repository for resource and accession and digital object records.",Usability
"As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation.",Usability
"As an Archivist, I want to rearrange the resource description hierarchy by dragging an archival object to a different position in the hierarchy.",Usability
"As an Archivist, I would like to indicate an Agent is either the creator or source or subject of an Accession or Resource or Resource Component.",Usability
"As an Archivist, I want to associate an Instance with a Resource and/or Resource Component.",Usability
"As an Archivist, I don't want to inadvertently overwrite someone else's changes to a record that I'm editing.",Maintainability
"As a ReadOnly user , I want to view archival descriptions in my repository.",Usability
"As an Archivist, I want to associate a Subject record with a Resource description.",Usability
"As a User, I want to authenticate locally.",Security
"As User, I want to be able to log in.",Security
"As an Archivist, I want to associate an Instance with a Container.",Usability
"As an Archivist, I want to assign Location information to a Container.",Usability
"As a depositor, I want to deposit and maintain datasets through a simple web interface, so that I don't need to install and learn new software to deposit.",Usability
"As a depositor, I want to have a user interface that is familiar to me, so that I feel like all the University systems are joined up.",Usability
