texts,labels
"As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly.",No-Functional
"As a camp counselor, I want to be able to take attendance of my assigned kids, so that I can make ensure everybody is accounted for.",Functional
"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Functional
"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Functional
"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Functional
"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",No-Functional
"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",No-Functional
"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Functional
"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Functional
"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",No-Functional
"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",No-Functional
"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",No-Functional
"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",No-Functional
"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Functional
"As a moderator, I want to estimate a story we estimated earlier in the session again, so that we can give a new estimate if we feel different about the story after estimating other related stories.",Functional
"As a moderator, I want to import stories from a spreadsheet, so that I don't have to copy and paste each individual story.",No-Functional
"As a moderator, I want to copy/paste stories from a spreadsheet, so that I can get started more quickly.",No-Functional
"As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for.",No-Functional
"As a moderator, I want to view a transcript of a game, so that I can see the stories and estimates.",No-Functional
"As a moderator, I want to export a transcript of a game as a HTML file, so that I can save the stories and estimates locally.",Functional
"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.",Functional
"As a moderator, I want to delete a game, so that stories and estimates for this game are no longer stored.",No-Functional
"As a moderator, I want to create an account for the application by entering my name, email address, a password and a username, so that I can start using the application.",Functional
"As a moderator, I want to log in using my account name and password, so that I can start using the application.",Functional
"As a moderator, I want to change my account details, so that I can keep my account details up-to-date.",No-Functional
"As a moderator, I want to delete my account, so that account information and games are no longer stored.",No-Functional
"As a moderator, I want to see dates and times in my local timezone, so that I don't have to do timezone conversion myself.",No-Functional
"As a moderator, I want to get a password reminder by email, so that I can get back to using the application when I've forgotten my password.",No-Functional
"As a moderator, I want to select whether to have the team estimate with {0, 1/2, 1, 2, 3, 5, 8, etc.} or {0, 1, 2, 4, 8, 16, 32, etc.}, so that the team can use either the modified Fibonacci sequence or powers of 2.",No-Functional
"As a moderator, I want to invite up to 15 estimators, so that we can play with large but not immense teams.",Functional
"As an estimator, I want to join a game by entering my name on the page I received the URL for, so that I can participate.",Functional
"As an estimator, I want to see the item we’re estimating, so that I know what I’m giving an estimate for.",No-Functional
"As an estimator, I want to see all items we will try to estimate this session, so that I have a feel for the sizes of the various items.",No-Functional
"As a participant, I want to immediately see that an estimate has been given by a specific estimator, so that I know who has already given an estimate and who we’re still waiting for.",No-Functional
"As a participant, I want to be shown all estimates at the same time after all estimators have given their estimate, so that I can be sure estimates are independent and not influenced by other estimates given in the same draw.",No-Functional
"As a participant, I want to be able to change my estimate up until the last person selects a card and all are shown, so that I can change my mind based on information I hear.",No-Functional
"As a participant, I want to be able to see each estimator's prior estimates for the story being estimated, so that I can see how his or her opinion has changed so I can ask questions.",No-Functional
"As a participant, I want to see who gave what estimates during the current round, so that I know this when we’re discussing the estimates.",No-Functional
"As a participant, I want to be able start a two-minute countdown timer that all participants can see, so that I can limit the time spent discussing the estimates when I think we’ve talked long enough.",No-Functional
"As a participant, I want to have the two-minute timer reset itself as soon as we all play an estimate, so that it's ready for use on the next round.",Functional
"As a participant, I want to scroll back through the stories and estimates from prior rounds, so that I can use this information when I estimate the item of the current round.",No-Functional
"As a participant, I want to always have the cards in the same order across multiple draws, so that it's easy to compare estimates.",No-Functional
"As a participant, I want to change my estimate as long as the draw has not been completed, so that I can change my mind.",Functional
"As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.",No-Functional
"As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended.",No-Functional
"As a developer, I want to have a list of definitions for commonly used terms, so that everyone working on the project can understand each other more easily.",No-Functional
"As a developer, I want to have created database indexes, so that the queries run as fast as possible.",No-Functional
"As a developer, I want to have the application function correctly in Internet Explorer 6 and 7, Firefox 1.5 and 2, and Safari 2, so that as many people as possible can fully use the application.",No-Functional
"As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application.",No-Functional
"As a user, I want to have the application respond quickly to my actions, so that I don't get bored.",No-Functional
"As a user, I want to be able to use Unicode, so that I can use any language I like.",No-Functional
"As a user, I want to see sensible and predictable URLs, so that the application feels logical and transparent.",No-Functional
"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers.",No-Functional
"As a Researcher, I want results to be stored in a non-identifiable way, so that I can study the data to see things like whether estimates converged around the first opinion given by ""estimator A"" for example.",Functional
"As a Mike, I want to be able to see some metrics on use of the game, so that I can see how much it is being used.",Functional
"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.",Functional
"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.",Functional
"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.",Functional
"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.",No-Functional
"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.",No-Functional
"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.",Functional
"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access. ",Functional
"As a Publisher, I want to configure my client, so that I can start publishing data packages.",Functional
"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.",Functional
"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.",No-Functional
"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.",No-Functional
"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.",No-Functional
"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.",No-Functional
"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.",No-Functional
"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",No-Functional
"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.",No-Functional
"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",Functional
"As a Publisher, I want to create a data package in the UI so that it is available and published.",Functional
"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",Functional
"As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",Functional
"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.",No-Functional
"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",No-Functional
"As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention. ",No-Functional
"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.",No-Functional
"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.",Functional
"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.",No-Functional
"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.",No-Functional
"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.",No-Functional
"As a Consumer, I want to search data packages, so that that I can find the ones I want.",Functional
"As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words.",Functional
"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.",No-Functional
"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.",Functional
"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.",Functional
"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.",Functional
"As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.",No-Functional
"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.",No-Functional
"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.",No-Functional
"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.",No-Functional
"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes. ",No-Functional
"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",Functional
"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.",No-Functional
"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.",No-Functional
"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.",No-Functional
"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it. ",Functional
"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.",No-Functional
"As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not.",No-Functional
"As a Consumer, I want to view a Datapackage at a particular version online, so that that I can present/discuss the particular data timeslice of interest with other people.",No-Functional
"As a Consumer, I want to download a Data package at a particular version, so that that I know it is compatible with my scripts and system.",Functional
"As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",No-Functional
"As a Consumer, I want to see how active the site is, so that I can decide if I should get involved.",No-Functional
"As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.",No-Functional
"As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.",No-Functional
"As a Consumer, I want to view a publisher's profile, so that that I can see who is behind a particular package or to see what other packages they produce. ",No-Functional
"As a Consumer, I want to search among all data packages owned by a publisher, so that that I can easily find one data package amongst all the data packages by this publisher.",Functional
"As an Owner, I want to edit my profile, so that that it is updated with new information.",Functional
"As an Owner, I want to invite an existing user, so that the user can become a member of my publisher.",Functional
"As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.",Functional
"As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.",No-Functional
"As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.",No-Functional
"As an owner, I want to make a user an owner, so that they have full control.",Functional
"As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.",No-Functional
"As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.",Functional
"As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.",No-Functional
"As an Admin, I want to have a pricing plan and billing system, so that that I can charge users and make my platform sustainable.",No-Functional
"As a Publisher, I want to know if this site has a pricing plan and what the prices are, so that that I can work out what this will cost me in the future and have a sense that these guys are sustainable. ",No-Functional
"As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",Functional
"As a Publisher, I want to have private data packages, so that I can share just with my team.",No-Functional
"As a collection curator, I want to set a date after which data will expire and be deleted or hidden then deleted.",No-Functional
"As a collection curator, I want to see the scheduled records deletion date be displayed on the item and component pages.",No-Functional
"As a repository manager, I want to track who is financially responsible for each item in the repository, who should probably be a person contact including name, phone, email, maybe title and address.",No-Functional
"As a repository manager, I want to be able t run a report periodically showing the storage consumed by each financial contact.",Functional
"As a collection curator, I want to map an item or items from one collection to another, so that an item may administratively belong to one collection but could appear in other collections.",No-Functional
"As a faculty member, I want to add a date delimiter to a search string, so that I can limit a search to return only results from before, after, or between a given date or dates.",Functional
"As a developer, I want to determine if we can use the in-built Fedora 4 event audit services.",No-Functional
"As a DPC, I want events to be created when a publication is published and unpublished, who did it, comment, so that I can record when and why something was made unavailable.  ",No-Functional
"As a repository manager, I want to specify the remote replication policy for each collection.",No-Functional
"As a repository manager, I want to elect to either replicate remotely or not and possibly to replicate beyond the primary remote site.",No-Functional
"As a collection curator, I want to have the repository queue my collection for replication upon ingest to our remote storage site and to display the remote replication status in each item and component page in the staff interface.",No-Functional
"As a collection curator, I want to have a summary of all remote replication status at collection level on my dashboard.",No-Functional
"As a collection curator, I want to have my collection be encrypted with a key maintained on that server, a checksum made and stored of the encrypted file, and the encrypted file replicated to our remote storage site.",No-Functional
"As a collection curator, I want to lift an embargo for an object in a simple way.",No-Functional
"As a repoadmin, I want to have Symplectic Elements bidirectionally communicate and integrate with DDR, which  provide a Fedora Connector and Emory is using a hidden Fedora instance that Hydra collects objects for.",Functional
"As a collection curator, I want to have items be made available under the permissions they were configured once the embargo date has been reached.",No-Functional
"As a collection curator, I want to create deposit forms specific to the collection.",Functional
"As a collection curator, I want to allow some collections the option of setting an embargo date at deposit.",No-Functional
"As a collection curator, I want to have item metadata to be discoverable while the item is under embargo.",No-Functional
"As a collection curator, I want to have the item to be allowed under the access permissions set on the object after the embargo data is reached.",No-Functional
"As a repoadmin, I want to have users to be presented with a license or a selection of licenses, specific to the collection, and deposit to be denied if the submitter does not accept the license.",No-Functional
"As a repoadmin, I want to have the license be recorded in metadata and displayed alongside the item.",No-Functional
"As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest.",Functional
"As a DigitalRecords Archivist, I want to have the batch ingest tool to recognize and set embargoes, permissions for embargoed items should be allow everyone to view metadata, and collection curator and repository administrators to download the files.",No-Functional
"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date.",No-Functional
"As a visitor, I want to see the embargo status and release date clearly displayed and perhaps highlighted in some way.",No-Functional
"As a DigitalRecords Archivist, I want to have a method to add and remove multiple people to deposit groups in specific collections, to set a date that the deposit window closes, and to have these permissions conferred on these depositors should pick up on the collection's default permission.",Functional
"As a DigitalRecords Archivist, I want to edit the length of embargoes.",Functional
"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora.",No-Functional
"As a DigitalRecords Archivist, I want to grant embargo privileges to other repository administrators.",No-Functional
"As a DigitalRecords Archivist, I want to have a method to add and remove individual people from deposit groups.",Functional
"As a collection curator, I want to have a tool to perform author authority control.",Functional
"As a collection curator, I want to move items from one collection to another.",Functional
"As a repoadmin, I want to expose repository contents via OAI-PMH. Auditing & Reporting.",Functional
"As a DigitalRecords Archivist, I want to view and download summary embargo metadata for all ETDs in the repository.",No-Functional
"As a batch submitter, I want to provide my data and metadata in a simple, documented format to the repository staff for ingest.",No-Functional
"As repository manager, I want to view authenticated, active users and anonymous users.",Functional
"As a repository manager, I want to schedule a message to users to be displayed on each page on the repository between select times for things like notification of upcoming downtime.",Functional
"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.",No-Functional
"As a repository manager, I want to view a dashboard statistics about collections size including a list of collections, the number of items and components in each, total storage consumed by each collection, visualization of deposit activity.",No-Functional
"As a collection curator, I want to see a dashboard widget showing a summary of recent submissions to my collection.",No-Functional
"As a repoadmin, I want to continue to provide access to the repository in the event that the server fails.",No-Functional
"As a repoadmin, I want to provide the server SLA to data contributors.",No-Functional
"As a repoadmin, I want to update the repository index without disrupting access to the public interface.",No-Functional
"As a repoadmin, I want to provide a Linked Data interface to the repository.",No-Functional
"As a repoadmin, I want to have Symplectic Elements to communicate bidirectionally with the repository.",Functional
"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data.",No-Functional
"As a collection curator, I want to have metadata changes made to items with repository-assigned DOIs to be propagated to the EZID.",No-Functional
"As a collection curator, I want to canonically identify authors and creators of my items by unique identifier, so that it's easier to view all of the works by that person together.",No-Functional
"As a collection curator, I want to see the referers for visitors who use resolver-abstracted links to reach my items.",No-Functional
"As a data contributor, I want to refer to the Disaster Recovery Plan in grant proposals and Data Management Plans.",No-Functional
"As a depositor, I want to get feedback post-ingest alerting me if files I submitted do not conform to their format specifications, if they are not valid, or if they are not wellformed.",No-Functional
"As a batch submitter, I want to access documentation describing the folder ingest process.",No-Functional
"As a depositor, I want to see what kinds of things the repository accepts and what formats are accepted and recommended.",No-Functional
"As a depositor, I want to easily find information about which data can be assigned a DOI, how to get one, and what metadata are required.",No-Functional
"As a collection curator, I want to create groups of users to manage permissions in the repository in an easy way.",Functional
"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses.",No-Functional
"As a collection curator, I want users to contact me directly from the repository to request access to restricted objects.",Functional
"As a collection owner, I want to have submitters to my collection to be unable to modify existing items in that collection.",No-Functional
"As a superuser, I want to enter and exit the superuser scope.",No-Functional
As a collection curator I want to change permissions on one or more items simultaneously.,Functional
"As a collection curator, I want to be able require authentication to access objects unless the request is coming from a whitelisted IP address, list of addresses.",No-Functional
"As a repository manager, I want to view available versions of an object and restore a version from the staff interface.",No-Functional
"As a collection curator, I want to view the permission on my objects all together.",No-Functional
"As a non-Duke researcher, I want to describe my team and mine's objects in the repository after they've been deposited if we've been assigned permission to edit metadata.",No-Functional
"As a faculty member, I want to go to my repository dashboard to manage members of my classes, grant submit permissions by pasting in a list of NetIDs, see confirmation that DDR recognizes the NetIDs, ability to manually remove permissions, ability to set begin and end dates for a submission window, and a have a status screen to clearly illustrate who has and hasn't submitted.",No-Functional
"As an app developer, I want to include the code of a dataset type in my app artifact and create a dataset of that type when deploying the app.",Functional
"As an app developer, I want to deploy a new version of a dataset type as part of deploying a new version of the app that includes it and I expect that all dataset instances of that type that were created as part of the app deployment start using the new code.",Functional
"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type.",No-Functional
"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app.",No-Functional
"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances.",No-Functional
"As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts.",No-Functional
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a shared dataset type that all dataset instances created by this app start using the new code but all dataset instances created by other apps remain unchanged.",No-Functional
"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app.",No-Functional
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a different version of a dataset type deployed by another app and this app shares a dataset instance of this type with the other app the deployment will fail with a version conflict error. ",No-Functional
"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.",No-Functional
"As a dataset developer, I want to deploy a dataset type independent from any app and allow apps to create and use dataset instances of that type.",Functional
"As a dataset developer, I want to have the option of forcing applications to have the dataset code injected at runtime.",No-Functional
"As a dataset developer, I want to have an archetype that helps me package my dataset type properly.",No-Functional
"As a dataset developer, I want to separate the interface from the implementation of a dataset type.",No-Functional
"As an app developer, I want to only depend on the interface of a dataset type in my app and have the system inject the implementation at runtime.",No-Functional
"As an app developer, I want to write unit tests for an app that depends on the interface of a dataset type.",No-Functional
"As a dataset developer, I want to assign explicit versions to the code of a dataset type.",Functional
"As a dataset developer, I want to deploy a new version of a dataset type without affecting the dataset instances of that type.",No-Functional
"As an app developer, I want to create a dataset instance with a specific version of a dataset type.",Functional
"As a dataset developer, I want to explore a dataset instance created from a dataset type that was deployed by itself.",Functional
"As a dataset developer, I want to delete outdated versions of a dataset type and I expect this to fail if there are any dataset instances with that version of the type.",No-Functional
"As a dataset developer, I want to list all dataset instances that use a dataset type or a specific version of a type.",No-Functional
"As a data scientist, I want to be able to create a dataset instance of an existing dataset type without writing code.",No-Functional
"As a data scientist, I want to be able to upgrade a dataset instance to a new version of its code.",Functional
"As a hydrator user, I want to create a pipeline that reads or writes an existing dataset instance.",Functional
"As a hydrator user, I want to create a pipeline that reads or writes a new dataset instance and I want to create that dataset instance as part of pipeline creation.",Functional
"As a hydrator user, I want to specify an explicit version of the dataset types of the dataset instances created by my pipeline and I expect pipeline creation to fail if that results in incompatible upgrade of an existing dataset instance that is shared with other apps or pipelines.",No-Functional
"As a hydrator user, I want to explore the datasets created by my pipeline.",No-Functional
"As a hydrator user, I want to ensure that all dataset instances created by apps are available as sinks and sources for pipelines.",No-Functional
"As an app developer, I want to ensure that all dataset instances created by Hydrator pipelines are accessible to the app.",No-Functional
"As a plugin developer, I want to include the code for a dataset type in the plugin artifact, so that when a pipeline using this plugin is created a dataset instance of that type is created and it is explorable and available to apps.",No-Functional
"As a plugin developer, I want to use a custom dataset type that was deployed independently or as part of an app inside the plugin. ",Functional
"As a plugin developer, I want to upgrade the code of a dataset type used by a dataset instance created by that plugin when I deploy a new version of the plugin and update the pipeline to use that version.",Functional
"As a pipeline developer, I want to upgrade a dataset instance to a newer version of the code after the pipeline was created.",Functional
"As a dataset developer, I want to have the option of implementing an upgrade step for when a dataset instance is upgraded to a new version of the dataset type.",No-Functional
"As a dataset developer, I want to have a way to reject an upgrade of a dataset instance to a newer version of it type if the upgrade is not compatible.",No-Functional
"As a dataset developer, I want to have the option of implementing a migration procedure that can be run after an upgrade of a dataset instance to a new version of it type. ",No-Functional
"As a developer, I want to take a dataset offline, so that I can perform a long-running maintenance or migration procedure.",No-Functional
"As a dataset developer, I want to implement custom administrative operations such as ""compaction"" or ""rebalance"" that are no common to all dataset types.",Functional
"As an app developer, I want to perform custom administrative operations on dataset instances from my app and the CLI and REST or the UI.",Functional
"As a user, I want to find out what properties are supported by the dataset type what values are allowed and what the defaults are when creating a dataset instance. ",No-Functional
"As a user, I want to specify the schema of a dataset in a uniform way across all dataset types.",No-Functional
"As a user, I want to specify schema as a JSON string.",Functional
"As a user, I want to specify schema as a SQL schema string.",Functional
"As a user, I want to configure time-to-live in a uniform way across all dataset types.",No-Functional
"As a user, I want to see the properties that were used to configure a dataset instance.",No-Functional
"As a user, I want to find out what properties of a dataset can be updated.",No-Functional
"As a user, I want to update the properties of a dataset instance and I expect this to fail if the new properties are not compatible with a meaningful error message.",No-Functional
"As a user, I want to update a single property of a dataset instance without knowing all other properties. ",No-Functional
"As a user, I want to remove a single property of a dataset instance without knowing all other properties. ",No-Functional
"As a user, I want to trigger a migration process for a dataset if updating its properties requires that.",Functional
"As a user, I want to ensure that if reconfiguration of a dataset fails then no changes have taken effect, so that all steps required to reconfigure a dataset must be done as a single atomic action.",No-Functional
"As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.",No-Functional
"As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured.",No-Functional
"As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment. ",No-Functional
"As a pipeline designer, I want to get a meaningful error message when pipeline creation fails when I use an existing dataset as a sink or source, so that I know that the schema or any other property of the dataset is incompatible with what the pipeline requires. ",No-Functional
"As a user, I want to specify as part of dataset configuration whether it is explorable.",No-Functional
"As a user, I want to specify the explore schema separately.",No-Functional
"As a user, I want to ensure that dataset creation fails if the dataset cannot be enabled for explore.",No-Functional
"As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails.",No-Functional
"As a user, I want to ensure that a dataset operation fails if it fails to make its required changes to explore.",No-Functional
"As a user, I want to ensure that an update of explore never leads to silent loss of data or data available for explore. ",No-Functional
"As a user, I want to enable explore for a dataset that was not configured for explore initially.",Functional
"As a user, I want to disable explore for a dataset that was configured for explore initially.",Functional
"As a system administrator, I want to run a script that installs the Neurohub node onto a virgin Ubuntu operating system.",Functional
"As a system administrator, I want to run a script that tests to see if a Neurohub installation is functioning correctly.",Functional
"As a release engineer, I want to call a script to execute acceptance tests against a Neurohub installation and report back the results.",No-Functional
"As an investigator, I want to view the acceptance test results, so that I can understand how feature-complete the Neurohub node currently is.",No-Functional
"As an MRI operator, I want to digitally record the responses that subjects make when completing paper-based forms.",Functional
"As a user, I want to navigate forwards and backwards between log books and log book pages without having to use my browser's back button.",No-Functional
"As a lab administrator, I want to theme the Web interface graphics/colours.",No-Functional
"As a systems administrator, I want  to install Neurohub dependencies into an Ubuntu 10.04 LTS machine using the normal Ubuntu package management tools.",Functional
"As a researcher, I want to create a log book page for an experiment and attach a file to this page.",Functional
"As a researcher, I want to create a log book page for an experiment and attach a directory that contains multiple files.",Functional
"As a researcher, I want to upload files prior to having them attached to a log book page.",Functional
"As a researcher, I want to upload files prior to having them attached to a log book page using the web interface.",Functional
"As a researcher, I want to upload files prior to having them attached to a log book page using a mapped network drive.",Functional
"As a researcher, I want to attach currently non-attached files to a log book page.",Functional
"As a researcher, I want to receive an alert of any unattached files that are in my workspace.",No-Functional
"As a researcher, I want to download files attached to an experiment using my Web browser.",Functional
"As a researcher, I want to access files stored in my Neurohub workspace, using a network drive attached to my workstation.",Functional
"As a researcher, I want to create a log book page.",Functional
"As a release engineer, I want to configure nightly builds that automatically perform a Neurohub installation on a virgin operating system, execute tests and report back results, without requiring any manual input/interaction.",No-Functional
"As a supervisor, I want to view what my researchers were doing on a given date or period of time.",No-Functional
"As a user, I want to upload large files of over 1GB in size.",Functional
"As a user, I want to assign tags to files that I have uploaded.",Functional
"As a user, I want to assign bespoke information to a file dependent on its type.",Functional
"As a user, I want to filter the files I get from search results based on their  type.",Functional
"As a user, I want to use the tags that I use are part of a controlled vocabulary.",No-Functional
"As a user, I want to make uploaded data files to be non-modifiable.",No-Functional
"As a user, I want to make predicated links between files.",Functional
"As a user, I want to restrict what can be entered to a metadata field.",No-Functional
"As a user, I want to have files I might accidentally delete to be restorable.",No-Functional
"As a user, I want to revert to an older version of an uploaded file.",No-Functional
"As a user, I want to have a visual way of viewing particular files uploaded over a time period.",No-Functional
"As a user, I want to associate together files involved in a experiment.",No-Functional
"As a system administrator, I want to have a managed backup protocol for the system.",No-Functional
"As a user, I want to enter metadata / describe an experiment protocol before a file is even created.",No-Functional
"As lab administrator, I want to have increased access to the system to support regular users. ",No-Functional
"As a user, I want to link together experimental runs to build an experiment.",Functional
"As a lab administrator, I want to create page templates with bespoke metadata fields.",Functional
"As a user, I want to capture the same metadata for each file created in an experimental run.",No-Functional
"As a lab administrator, I want a way of managing worm strain stocks that is integrated with Wormbase.",Functional
"As a user, I want to search for and download human-readable experimental protocols.",Functional
"As a user, I want to modify or branch an experimental protocol, whilst retaining the original.",Functional
"As a user, I want to view how an experimental protocol has evolved over time.",No-Functional
"As a user, I want to create a protocol and assign metadata to any stag.",Functional
"As a user, I want to prove definitively that I created a page on a certain date.",No-Functional
"As a user, I want to manage the references / papers I have investigated.",No-Functional
"As a user, I want to search specifically for files rather than log book pages.",Functional
"As a user, I want to limit my search to a particular set of log books.",Functional
"As a user, I want to limit my search results to one or more log book sections from one or more log books.",Functional
"As a user, I want to download files directly from the search results page.",Functional
"As a user, I want to see the provenance of the page as part of the search results.",No-Functional
"As a user, I want to attach multiple files at once to a log book page.",No-Functional
"As a user, I want to download multiple files from the search results in one go.",No-Functional
"As a user, I want to draw tables using HTML tags as part of the content of a log book page.",Functional
"As a lab member, I want to view events and equipment bookings within the group.",No-Functional
"As a user, I want to store worm behaviour videos with an encoding that can be analysed by the worm analysis software written by Christopher James.",No-Functional
"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version.",No-Functional
"As a user, I want to have the system to also forward important news items to an external mailing list.",Functional
"As a user, I want to view and update an inventory of of the equipment and consumables that are present in the centre.",Functional
